xcoord,ycoord,iswhite
22.02064558,29.32147089,0
26.50050627,8.816513155,1
26.39659261,20.28478218,1
17.23207159,10.82849085,0
38.7129249,37.91536756,1
12.11017571,19.76553636,0
39.78414365,34.20678613,1
24.97571082,33.75298265,1
22.57316226,33.15621242,0
25.62459856,4.180536336,0
30.67216792,30.83242186,1
12.01805781,26.14695763,1
9.185792885,24.02284419,1
39.72094972,20.45195196,1
6.253236522,27.87611543,1
2.200687553,30.08050444,1
32.81305882,14.89472085,1
15.75921849,9.298353106,0
3.445021224,27.52875431,1
37.39993798,31.32431639,0
3.975800567,19.00597207,1
19.78269739,19.62010939,1
22.85675137,16.40549488,0
32.05725524,8.792582196,0
20.66917314,0.976457068,0
39.98865136,29.46319868,0
39.39768424,19.99407658,0
4.374427687,10.815469,0
37.96498983,33.6136693,1
8.151219877,6.984835037,1
24.30701479,35.6608054,1
39.85110741,36.99826065,1
15.85963463,5.611343923,1
25.03486778,24.35606226,1
20.26367509,23.99758558,1
6.629121317,9.638094813,0
16.91916367,30.29687963,1
14.60196269,13.54852729,1
12.01754873,6.827401819,1
20.99406285,30.83273239,0
10.99475832,3.423038844,0
21.329039,2.355392258,0
10.73669484,24.56118167,1
29.69220253,24.47729023,0
12.60967736,16.58152962,0
21.2618709,17.94173181,0
5.023445528,8.880623604,0
9.441931087,0.116069527,0
20.37873502,19.03066563,0
7.109672246,19.66882515,0
38.62747103,32.7550868,0
29.05447442,18.92227074,1
29.18857766,7.35449754,0
32.86938079,17.01964815,1
26.01279483,32.94703719,0
16.54797776,4.31227082,1
10.16639824,32.11614478,0
21.77099117,22.30574788,1
28.60472947,32.98038819,1
12.27998002,10.64370435,1
28.40214707,33.11756654,1
31.64386168,28.14982468,1
39.82373654,12.88430766,1
36.74006957,10.04433822,1
35.78473768,5.193656374,0
15.42237103,9.474265229,0
4.40557434,26.60947331,0
27.70006263,19.56757097,1
21.59439639,34.85866447,1
23.9597434,10.40697103,1
3.015997447,2.682212884,1
34.75384535,4.611492287,0
13.36062149,15.97335796,1
32.94736362,34.90635583,0
31.85656746,36.25517342,0
21.5311952,11.83516009,1
26.35174231,35.20168238,1
24.72025849,18.67295284,0
13.10981447,2.890865239,0
4.688869749,21.39665655,0
4.944994773,35.88500799,0
13.55993408,7.471928175,0
6.061909878,10.43079039,0
12.87023911,3.429808466,0
15.66957378,10.69305357,0
28.94153353,7.67739886,0
17.76267713,11.27427887,0
3.535095271,6.906839267,0
16.7603524,8.135905104,0
14.93657587,13.3513442,1
8.92641204,23.58169903,1
17.87431866,14.31309602,1
17.32740479,14.46554053,1
30.94305686,30.60049947,1
9.834270481,11.4884038,1
25.79270986,19.54152947,0
0.711271096,25.22843701,0
17.78314181,8.371257066,0
39.32896383,8.198381981,1
21.68996524,4.998848976,0
26.12417188,27.34365294,0
33.4037117,26.5666723,1
2.636556878,16.59948833,1
36.3653082,15.54044182,0
30.59652472,8.022791142,0
35.45169773,32.30059693,0
38.88316634,24.69067484,1
4.849179777,34.44286281,0
18.11996576,26.05749907,0
26.58879637,0.493780359,0
38.11184315,10.81706858,1
25.6655536,10.33736866,1
29.4840791,11.3246057,0
25.64410274,11.13950696,1
38.97206423,19.85371737,0
30.55186784,13.31747761,0
20.62841313,0.702312468,0
14.71235523,16.4685254,1
4.402289581,13.6769575,1
21.50528861,12.64284871,1
15.31525525,10.8751643,0
25.7332082,26.84000249,0
30.00718974,37.03783026,0
26.2555027,38.87275915,1
8.798422731,23.15873578,1
4.058287036,7.123063403,0
38.35810175,37.43365648,1
28.08519276,31.37118149,1
26.57548519,15.89585684,0
1.695344956,18.90717175,1
5.851185414,34.08546511,0
23.50131972,33.80088704,1
39.02354144,23.94968129,1
9.3545035,33.00779436,0
33.58333462,4.457132457,0
24.50164994,8.129529816,1
2.848557641,7.966980903,0
24.68881257,21.10052071,1
10.74249733,6.962684507,1
12.19399116,12.88160271,1
23.53120795,37.92150464,1
26.24473412,18.69953688,0
4.396228915,14.50252993,1
9.984369967,34.91036762,1
7.146624086,38.32465954,1
7.822506946,32.60084551,0
35.97793929,5.348211466,0
24.90385761,38.00530375,1
28.38792767,6.617702433,1
24.93403109,15.50379574,0
20.76146266,35.34105246,1
21.83760818,39.60558867,1
37.1836993,19.83199615,0
13.26958185,4.149635099,0
17.73141549,21.44652389,0
2.317071384,14.79051641,1
11.91704539,31.99652396,0
3.604997145,6.057670599,1
12.31512812,37.13523196,1
4.190682905,18.79484181,1
24.29166217,2.429547588,0
26.50919831,30.46551665,0
34.78670509,26.27802798,1
15.56771378,21.04027717,0
10.44561823,29.57024851,0
17.81933474,33.33754751,0
9.263493777,20.41166367,1
25.45314226,27.85463986,0
29.16412275,38.32103659,0
29.40418657,17.88409024,1
16.4001383,30.75747284,1
18.21670256,29.49901709,1
14.55089398,39.76283615,0
18.64568944,31.39494322,1
22.32794343,4.913934524,0
1.409904173,25.29999713,0
6.505555279,29.19401532,1
37.21179329,35.88229423,1
16.21579893,30.72700977,1
23.51291945,23.79174187,1
29.69391413,29.04240157,1
16.72893721,21.95991022,0
0.23422149,23.29714366,0
33.42372175,38.71102406,1
37.74530428,35.35419449,1
37.7279791,7.910220866,1
10.75476313,25.41306715,1
29.17155643,29.88569523,1
31.73289071,34.61226014,0
28.20642162,28.7856304,1
13.12691392,19.75383016,0
25.36347738,0.229995443,0
0.565924202,29.10549367,1
18.67827399,6.019260483,1
26.23265725,31.04687237,0
25.14824452,31.65503953,0
18.11657904,38.0821062,0
4.711397986,38.44008911,0
35.39349419,34.20136961,1
14.06988737,23.95831741,0
36.77506615,33.50628515,1
0.030595732,38.4427585,0
23.7289896,16.45322218,0
9.822719827,37.42288764,1
32.52293512,24.12929314,0
31.24719393,33.0017879,1
34.48171164,0.324997522,0
11.1513821,10.99987734,1
11.8880894,38.33589133,1
38.90056125,36.76223268,1
39.66373851,1.930234109,0
31.52085532,3.057811685,1
0.884895422,34.19671128,0
16.65320313,1.473635472,1
18.86247721,34.08373733,0
13.51696731,13.801241,1
